SET ORDER X Y Z   (ENERGY COSINE EVENTS)
SET LIMITS X FROM 830 TO 1200
SET LIM ZMAX 300
SET THREE PHI 45
SET SYMBOL 0P
880   -.93     216
880   -.85     186
880   -.65     211
880   -.51     164
880   -.36     161
880   -.19     106
880   -.05     138
880    .05      99
880    .15     126
880    .25     149
880    .35     164
880    .45     171
880    .55     152
880    .65     122
880    .75     129
880    .85     212
880    .95     127
SET SYMBOL 1P
930  -.92  213
930  -.84  86
930  -.68  162
930  -.65  117
930  -.38  105
930  -.25  69
930  -.07  88
930   .05  111
930   .15  104
930   .25  94
930   .35  121
930   .45  136
930   .55  113
930   .65  150
930   .75  101
930   .85  111
930   .95  89
SET SYMBOL 2P
980  -.93  279
980  -.87  132
980  -.70  102
980  -.58  66
980  -.45  56
980  -.30  66
980  -.15  84
980  -.04  89
980   .05  128
980   .15  112
980   .25  72
980   .35  85
980   .45  65
980   .55  64
980   .65  60
980   .75  63
980   .85  65
980   .95  37
SET SYMBOL 3P
1030  -.93  140
1030  -.87  112
1030  -.70  44
1030  -.58  44
1030  -.45  40
1030  -.30  35
1030  -.15  60
1030  -.04  134
1030   .05  115
1030   .15  117
1030   .25  95
1030   .35  63
1030   .45  118
1030   .55  133
1030   .65  112
1030   .75  88
1030   .85  67
1030   .95  50
SET SYMBOL 4P
1080  -.93  46
1080  -.87  44
1080  -.70  26
1080  -.58  32
1080  -.45  62
1080  -.30  69
1080  -.15  59
1080  -.04  115
1080   .05  136
1080   .15  117
1080   .25  148
1080   .35  225
1080   .45  207
1080   .55  195
1080   .65  151
1080   .75  190
1080   .85  93
1080   .95  53
HISTOGRAM POINTS 1 TO 17
HISTOGRAM POINTS 18 TO 34
HISTOGRAM POINTS 35 TO 52
HISTOGRAM POINTS 53 TO 70
HISTOGRAM POINTS 71 TO 88
NEW PLOT
BARGRAPH POINTS 1 TO 17
BARGRAPH POINTS 18 TO 34
BARGRAPH POINTS 35 TO 52
BARGRAPH POINTS 53 TO 70
BARGRAPH POINTS 71 TO 88
